Grand Prix,Race,Circuit ,Year,Driver,Stop ,Lap Stop,Time,Duration,Winner,,
Australia,1,Albert Park Circuit,2016,Sebastian Vettel,2,18,16:36:56,18:09.3,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Nico Rosberg,2,18,16:36:58,18:09.3,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Kimi Raikkonen,2,18,16:37:00,18:09.4,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Daniel Ricciardo,2,18,16:37:02,18:09.8,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Max Verstappen,2,18,16:37:03,18:09.4,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Carlos Sainz,2,18,16:37:05,18:10.0,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Lewis Hamilton,2,18,16:37:09,18:10.1,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Felipe Massa,2,18,16:37:10,18:09.8,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Romain Grosjean,1,18,16:37:12,18:09.4,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Nico Hulkenberg,2,18,16:37:14,18:09.2,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Valtteri Bottas,2,18,16:37:16,18:09.0,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Jolyon Palmer,2,18,16:37:19,18:08.3,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Sergio Perez,2,18,16:37:21,18:07.3,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Marcus Ericsson,2,18,16:37:25,18:06.9,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Jenson Button,2,18,16:37:31,18:04.5,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Felipe Nasr,2,18,16:37:34,18:02.3,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Pascal Wehrlein,2,18,16:37:36,18:02.1,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Kevin Magnussen,3,17,16:37:38,15:46.3,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Marcus Ericsson,3,27,17:10:16,16.936,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Jenson Button,3,30,17:14:55,21.837,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Carlos Sainz,3,31,17:16:00,22.392,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Max Verstappen,3,32,17:17:30,29.066,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Pascal Wehrlein,3,32,17:18:12,23.895,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Sebastian Vettel,3,35,17:21:50,24.548,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Daniel Ricciardo,3,42,17:32:47,21.981,Nico Rosberg,,
Australia,1,Albert Park Circuit,2017,Kevin Magnussen,1,1,16:08:47,31.336,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Lance Stroll,1,5,16:14:22,22.293,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Stoffel Vandoorne,1,9,16:20:40,39.562,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Esteban Ocon,1,15,16:29:32,22.154,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Antonio Giovinazzi,1,15,16:29:57,28.591,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Fernando Alonso,1,16,16:31:00,22.484,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Nico Hulkenberg,1,16,16:31:01,23.13,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Lewis Hamilton,1,17,16:31:40,21.709,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Sergio Perez,1,17,16:32:20,22.045,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Carlos Sainz,1,18,16:33:49,21.762,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Felipe Massa,1,20,16:36:44,21.568,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Sebastian Vettel,1,23,16:40:32,21.988,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Valtteri Bottas,1,25,16:43:42,21.44,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Max Verstappen,1,25,16:43:56,22.208,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Kimi Raikkonen,1,26,16:45:16,22.033,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Lance Stroll,2,29,16:51:13,22.38,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Nico Hulkenberg,2,30,16:52:40,23.159,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Daniil Kvyat,1,34,16:57:51,25.559,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Kevin Magnussen,2,44,17:15:10,22.189,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2017,Daniil Kvyat,2,49,17:20:30,24.026,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Brendon Hartley,1,1,16:15:04,22.213,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Kimi Raikkonen,1,18,16:40:07,21.421,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Lewis Hamilton,1,19,16:41:30,21.821,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Charles Leclerc,1,20,16:44:03,22.242,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Max Verstappen,1,21,16:45:06,20.953,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Kevin Magnussen,1,22,16:46:31,21.983,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Carlos Sainz,1,22,16:46:46,23.868,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Brendon Hartley,2,22,16:47:37,22.296,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Esteban Ocon,1,23,16:48:25,21.854,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Romain Grosjean,1,24,16:49:31,23.054,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Nico Hulkenberg,1,24,16:49:35,22.628,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Sergio Perez,1,24,16:49:51,22.327,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Stoffel Vandoorne,1,25,16:51:17,22.474,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Valtteri Bottas,1,25,16:51:21,21.664,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Lance Stroll,1,25,16:51:46,25.504,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Sebastian Vettel,1,26,16:52:19,21.787,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Daniel Ricciardo,1,26,16:52:59,21.44,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Fernando Alonso,1,26,16:53:09,22.573,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Charles Leclerc,2,27,16:56:25,22.836,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2018,Lance Stroll,2,29,16:59:57,21.397,Sebastian Vettel,,
Australia,1,Albert Park Circuit,2019,Robert Kubica,1,1,16:15:28,32.997,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Daniel Ricciardo,1,1,16:15:30,33.027,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Kimi Raikkonen,1,12,16:31:50,23.299,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Nico Hulkenberg,1,13,16:33:19,21.588,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Sergio Perez,1,13,16:33:28,23.234,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Sebastian Vettel,1,14,16:34:28,21.995,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Kevin Magnussen,1,14,16:34:47,22.388,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Alex Albon,1,14,16:34:57,21.78,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Lewis Hamilton,1,15,16:35:52,21.515,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Romain Grosjean,1,15,16:36:19,29.981,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Lando Norris,1,15,16:36:25,21.627,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Valtteri Bottas,1,23,16:47:33,22.014,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Max Verstappen,1,25,16:50:47,21.157,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Daniil Kvyat,1,26,16:52:54,22.086,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,George Russell,1,26,16:53:46,21.689,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Lance Stroll,1,27,16:54:21,22.471,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Antonio Giovinazzi,1,27,16:54:58,27.172,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Charles Leclerc,1,28,16:55:26,22.306,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Robert Kubica,2,28,16:58:10,22.343,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Pierre Gasly,1,37,17:09:14,21.269,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,George Russell,2,42,17:18:18,21.543,Valtteri Bottas,,
Australia,1,Albert Park Circuit,2019,Robert Kubica,3,44,17:22:42,21.889,Valtteri Bottas,,
Australia,3,Albert Park Circuit,2022,Lance Stroll,1,3,15:08:15,18.242,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Lance Stroll,2,4,15:10:29,18.56,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Nicholas Latifi,1,13,15:25:03,18.552,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Mick Schumacher,1,14,15:26:23,19.039,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Esteban Ocon,1,17,15:30:30,19.128,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Max Verstappen,1,18,15:31:37,18.281,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Yuki Tsunoda,1,18,15:32:02,18.443,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Sergio Perez,1,20,15:34:33,17.434,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Lando Norris,1,20,15:34:40,17.556,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Daniel Ricciardo,1,21,15:36:06,18.15,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Pierre Gasly,1,21,15:36:15,18.926,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Zhou Guanyu,1,21,15:36:22,18.38,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Charles Leclerc,1,22,15:37:04,17.973,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Lewis Hamilton,1,22,15:37:22,17.877,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Valtteri Bottas,1,22,15:37:40,18.413,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,George Russell,1,23,15:38:51,18.479,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Lance Stroll,3,23,15:39:30,20.402,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Nicholas Latifi,2,23,15:40:00,17.936,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Fernando Alonso,1,39,16:05:24,18.796,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Kevin Magnussen,1,39,16:05:30,19.111,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Fernando Alonso,2,53,16:25:28,18.394,Charles Leclerc,,
Australia,3,Albert Park Circuit,2022,Alex Albon,1,57,16:30:33,19.845,Charles Leclerc,,
Australia,3,Albert Park Circuit,2023,Esteban Ocon,1,1,15:05:04,18.056,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Zhou Guanyu,1,1,15:05:11,18.951,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Logan Sargeant,1,1,15:05:13,18.382,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Sergio Perez,1,1,15:05:15,17.657,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Valtteri Bottas,1,1,15:05:16,21.659,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Logan Sargeant,2,2,15:07:25,19.158,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Sergio Perez,2,2,15:07:26,17.814,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,George Russell,1,7,15:15:01,19.146,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Carlos Sainz,1,7,15:15:05,18.319,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Kevin Magnussen,1,7,15:15:21,20.789,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lewis Hamilton,1,8,15:17:43,15:25.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Max Verstappen,1,8,15:17:45,15:25.1,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Fernando Alonso,1,8,15:17:48,15:26.9,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lance Stroll,1,8,15:17:51,15:27.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Pierre Gasly,1,8,15:17:53,15:27.0,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nico Hulkenberg,1,8,15:17:55,15:26.3,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,George Russell,2,8,15:17:59,15:30.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Yuki Tsunoda,1,8,15:18:02,15:31.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lando Norris,1,8,15:18:04,15:34.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Oscar Piastri,1,8,15:18:06,15:34.5,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Carlos Sainz,2,8,15:18:08,15:37.0,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nyck de Vries,1,8,15:18:11,15:37.9,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Esteban Ocon,2,8,15:18:14,15:37.9,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Sergio Perez,3,8,15:18:16,15:37.5,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Zhou Guanyu,2,8,15:18:19,15:37.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Valtteri Bottas,2,8,15:18:21,15:37.6,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Logan Sargeant,3,8,15:18:23,15:38.0,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Kevin Magnussen,2,8,15:18:27,15:40.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Logan Sargeant,4,36,16:15:29,19.018,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nyck de Vries,2,45,16:28:14,18.08,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Valtteri Bottas,3,53,16:39:03,19.825,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Oscar Piastri,2,54,16:40:06,19.442,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Zhou Guanyu,3,54,16:40:31,21.881,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Yuki Tsunoda,2,54,16:40:36,18.258,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Max Verstappen,2,55,16:41:38,14:27.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lewis Hamilton,2,55,16:41:40,14:31.7,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Fernando Alonso,2,55,16:41:42,14:34.3,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Valtteri Bottas,4,54,16:41:44,12:19.3,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Carlos Sainz,3,55,16:41:45,14:34.9,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Pierre Gasly,2,55,16:41:47,14:35.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lance Stroll,2,55,16:41:50,14:35.1,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Sergio Perez,4,55,16:41:53,14:36.5,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Logan Sargeant,5,54,16:41:54,12:12.0,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lando Norris,2,55,16:41:56,14:41.1,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nico Hulkenberg,2,55,16:41:58,14:40.7,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nyck de Vries,3,54,16:42:01,12:06.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Esteban Ocon,3,55,16:42:03,14:39.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Oscar Piastri,3,55,16:42:20,14:24.7,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Zhou Guanyu,4,55,16:42:47,14:01.6,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Yuki Tsunoda,3,55,16:42:52,14:01.8,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Valtteri Bottas,5,55,16:55:40,01:16.6,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Logan Sargeant,6,55,16:55:45,01:14.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nyck de Vries,4,55,16:55:47,01:13.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Max Verstappen,3,57,17:02:10,30:56.5,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lewis Hamilton,3,57,17:02:11,30:59.4,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Carlos Sainz,4,57,17:02:13,31:01.6,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Nico Hulkenberg,3,57,17:02:14,31:09.1,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Yuki Tsunoda,4,57,17:02:16,31:11.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lando Norris,3,57,17:02:17,31:04.1,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Oscar Piastri,4,57,17:02:19,31:06.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Zhou Guanyu,5,57,17:02:22,31:05.0,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Valtteri Bottas,6,57,17:02:23,31:07.2,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Sergio Perez,5,57,17:02:25,30:53.6,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Fernando Alonso,3,57,17:02:27,30:45.1,Max Verstappen,,
Australia,3,Albert Park Circuit,2023,Lance Stroll,3,57,17:02:29,30:45.9,Max Verstappen,,
Australia,3,Albert Park Circuit,2024,Daniel Ricciardo,1,5,15:10:25,18.265,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Alex Albon,1,6,15:11:45,17.755,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Zhou Guanyu,1,6,15:11:49,19.032,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Lewis Hamilton,1,7,15:13:04,17.596,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Kevin Magnussen,1,7,15:13:08,18.301,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,George Russell,1,8,15:14:23,18.046,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Lance Stroll,1,8,15:14:26,17.901,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Valtteri Bottas,1,8,15:14:30,46.969,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Charles Leclerc,1,9,15:15:42,17.409,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Oscar Piastri,1,9,15:15:43,17.573,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Yuki Tsunoda,1,9,15:15:50,18.523,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Esteban Ocon,1,9,15:15:55,18.287,Carlos Sainz,,
Australia,3,Albert Park Circuit,2024,Lando Norris,1,14,15:22:37,17.776,Carlos Sainz,,
